company_name,contact_name,country,linkedin_website,email,phone,whatsapp,website,industry,What_they_do,Why_they_need_BLIIOT
"G Tech Automação Industrial LTDA","","Brazil","","","+551135969716","+551135969716","https://gtechautomacao.ind.br","SCADA / PLC / Industrial Control","G Tech Automação Industrial LTDA appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Wolf Automation CDMX","","Mexico","","Info@wolfautomation.com.mx","+525637099414","+525637099414","https://wolfautomation.mx","SCADA / PLC / Industrial Control","Wolf Automation CDMX appears on Google Maps as a (57) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"ROMA AUTOMATION","","Mexico","","ventas01@roma-automation.com.mx","+525557991186","+525557991186","https://roma-automation.com.mx","SCADA / PLC / Industrial Control","ROMA AUTOMATION appears on Google Maps as a (7) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Kinemotion Automation","","Mexico","","ventas@kinemotion-automation.com","+525532241557","+525532241557","https://kinemotion-automation.com","SCADA / PLC / Industrial Control","Kinemotion Automation es distribuidor autorizado de Lenze en México. Ofrecemos servo drives i950/i700, inversores i500, motoreductores g500, PLCs y soporte técnico especializado desde CDMX y Guadalajara.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automation S.A. de C.V.","","Mexico","","","+5253604679","+5253604679","https://automationsadecv.com","SCADA / PLC / Industrial Control","Automation S.A. de C.V. appears on Google Maps as a (1) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"IPA AUTOMATIZACION -Automatización y Neumática industrial SMC.","","Mexico","","impallari@gmail.com","+525536477562","+525536477562","https://ipaautomatizacion.com","SCADA / PLC / Industrial Control","IPA AUTOMATIZACION -Automatización y Neumática industrial SMC. appears on Google Maps as a (4) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automatización Industrial S.H.","","Argentina","","","+553132275090","+541159474738","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Ingenia Control SRL - Automatización Industrial","","Argentina","","","+541146697707","+541146697707","https://ingenia.com.ar","SCADA / PLC / Industrial Control","Ingenia Control SRL - Automatización Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Factory Solutions - Automatización y Robótica Industrial","","Argentina","","","+541155331100","+541155331100","https://factorysolutions.com.ar","SCADA / PLC / Industrial Control","Factory Solutions - Automatización y Robótica Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automatización De Portones - MG AUTOMATIZACIONES","","Argentina","","","+553132275090","+5491165209991","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automatización Norte","","Argentina","","","+553132275090","+541161154659","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"KDK-Argentina","","Argentina","https://www.linkedin.com/company/kdk-argentina/","ventas@kdk-argentina.com","+541170780939","+5491135054401","https://kdk-argentina.com","SCADA / PLC / Industrial Control","Proveedor de productos para automatización y control industrial: Radares, Sensores de nivel para sólidos y líquidos, sensores Inductivos y Capacitivos, Sensores ópticos, laser, de fibra optica, sensores ultrasónicos, sensores magnéticos, PT100, Termocuplas, Variadores de velocidad, Arrancadores Suaves, motores paso a paso, Encoders, Drivers, Transductores y Celdas de carga, Contactores y Guardamotores, Controles de Temperatura, Contadores, Transductores de proceso, Pantallas, displays, Sensores Magnéticos y Relés de Seguridad, Fuentes Switching, Transformadores y Cargadores, Instrumentos de Medición, Materiales Electricos, PLC, Neumática, Temporizadores, Relés electromecánicos, relés de estado sólido, Termómetros y Manometros, Termostatos y presostatos, Componentes electrónicos, Conectores y Fichas, entre otros...","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Control y Automatización","","Colombia","","","+553132275090","+573165388531","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automatik Control","","Colombia","https://www.linkedin.com/company/18647481/admin/","jlugo@grupoautomatik.com","+573173525622","+573173525622","https://grupoautomatik.com","SCADA / PLC / Industrial Control","Automatik Control appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"CONTROL4 BOGOTA","","Colombia","","","+5715336827","+5715336827","https://control4colombia.com","SCADA / PLC / Industrial Control","CONTROL4 BOGOTA appears on Google Maps as a (4) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Multicontrol Ltda - Omron Colombia - Panamá","","Colombia","","sede.bogota@multicontrol.com.co","+573153457101","+573153457101","https://multicontrol.com.co","SCADA / PLC / Industrial Control","Multicontrol Ltda - Omron Colombia - Panamá appears on Google Maps as a (8) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"One Automatización - Control4","","Colombia","","info@oneautomatizacion.com","+573123281386","+573123281386","https://oneautomatizacion.com","SCADA / PLC / Industrial Control","One Automatización - Control4 appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Control de Acceso","","Colombia","","","+553132275090","+573152150669","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"ZYCON AUTOMAÇÃO INDUSTRIAL","","Brazil","","","+551131032100","+551131032100","https://zycon.com.br","SCADA / PLC / Industrial Control","ZYCON AUTOMAÇÃO INDUSTRIAL appears on Google Maps as a (12) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Ingeniería en Automatización y Control S.A de C.V","","Mexico","","ventas@iacsamexico.com.mx","+525555126061","+5584939063","https://iacsamexico.com.mx","SCADA / PLC / Industrial Control","Ingeniería en Automatización y Control S.A de C.V appears on Google Maps as a (87) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Mitsubishi Electric Automation, Inc","","Mexico","https://www.linkedin.com/company/mitsubishi-electric-automation-inc/","","+525530677500","+525530677500","https://mx.mitsubishielectric.com","SCADA / PLC / Industrial Control","Las soluciones de automatización en fábrica de Mitsubishi Electric Automation garantizan calidad, rendimiento y compatibilidad con tecnología que permite a las empresas ser eficientes, sostenibles y seguras.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"JM Industrial Technology","","Mexico","","","+525571600129","+525571600129","https://jmi.com.mx","SCADA / PLC / Industrial Control","JM Industrial Technology appears on Google Maps as a (22) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"INGIA SRL","","Argentina","","","+541177003188","+541177003188","https://ingia.com.ar","SCADA / PLC / Industrial Control","INGIA SRL appears on Google Maps as a (132) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automación Argentina S.A.","","Argentina","","","+5449186763","+5449186763","https://automacion.com.ar","SCADA / PLC / Industrial Control","Automación Argentina S.A. appears on Google Maps as a (12) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"A-TECH ""Automatización Industrial""","","Argentina","","","+541177131756","+541177131756","https://a-tech.com.ar","SCADA / PLC / Industrial Control","A-TECH ""Automatización Industrial"" appears on Google Maps as a (5) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"MTA Automatizacion","","Argentina","https://www.linkedin.com/company/mta-srl-ar","info@mta.com.ar","+541123610909","+5491149453666","https://mta.com.ar","SCADA / PLC / Industrial Control","MTA Automatizacion appears on Google Maps as a (8) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Technosystems Chile Ltda.","","Chile","","contacto@technosystems.cl","+56223288900","+56223288900","https://technosystems.cl","SCADA / PLC / Industrial Control","Technosystems Chile Ltda. appears on Google Maps as a (36) in Chile. The lead was collected from a search related to system integrator Santiago Chile, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"IBM Chile","","Chile","https://www.linkedin.com/company/ibm]","","+56222006000","+56222006000","https://ibm.cl","SCADA / PLC / Industrial Control","Durante más de un siglo, IBM ha sido un innovador tecnológico global, liderando avances en inteligencia artificial, automatización y soluciones de nube híbrida que ayudan a los negocios a crecer.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"AUTOMATIZACION Y CONTROL INGENIERIA SAS","","Colombia","https://www.linkedin.com/company/ayc-ingenier%C3%ADa/mycompany/","ventas@aycingenieria.com","+576015171023","+576015171023","https://aycingenieria.com","SCADA / PLC / Industrial Control","Descubre la excelencia en ingeniería eléctrica industrial con A&amp;C Ingeniería S.A.S. Líderes en soluciones de automatización y control.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Advance Controles Colombia SAS.","","Colombia","","","+576017049900","+576017049900","https://grupoadvance.com","SCADA / PLC / Industrial Control","Advance Controles Colombia SAS. appears on Google Maps as a (1) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
