name,country,phone,rating,type,website,place_url,search_keyword,address
"IBM Chile","Chile","+56222006000","4.5","(386)","http://www.ibm.cl/","https://www.google.com/maps/place/IBM+Chile/data=!4m7!3m6!1s0x9662c5865e49b10d:0xaf155748de1b8b8d!8m2!3d-33.4336233!4d-70.6257474!16s%2Fg%2F1tc_9wkx!19sChIJDbFJXobFYpYRjYsb3khXFa8?authuser=0&hl=en&rclk=1","system integrator Santiago Chile","Av. Providencia 655, 7500669 Santiago, Providencia, Región Metropolitana, Chile"
"Control y Automatización","Colombia","+573165388531","4.8","(11)","","https://www.google.com/maps/place/Control+y+Automatizaci%C3%B3n/data=!4m7!3m6!1s0x8e3f9968e18deb5b:0x1337ec315ff6bb79!8m2!3d4.6215163!4d-74.089333!16s%2Fg%2F11dxbqy8yh!19sChIJW-uN4WiZP44Rebv2XzHsNxM?authuser=0&hl=en&rclk=1","automation control Bogotá","Cl. 19b #32 - 64, Bogotá, Colombia"
"AUTOMATIZACION Y CONTROL INGENIERIA SAS","Colombia","+576015171023","4.4","(113)","https://aycingenieria.com/","https://www.google.com/maps/place/AUTOMATIZACION+Y+CONTROL+INGENIERIA+SAS/data=!4m7!3m6!1s0x8e3f99a027c5e289:0x3af7b30eaf46a43c!8m2!3d4.6067358!4d-74.0748349!16s%2Fg%2F1q2w4bqt9!19sChIJieLFJ6CZP44RPKRGrw6z9zo?authuser=0&hl=en&rclk=1","automation control Bogotá","Cra. 12 #18-20, Bogotá, Colombia"
"Automatik Control","Colombia","+573173525622","5","(2)","https://www.grupoautomatik.com/","https://www.google.com/maps/place/Automatik+Control/data=!4m7!3m6!1s0x8e3f9b5b146f38bb:0x43ed7ba2fa0f0c09!8m2!3d4.6636266!4d-74.0625095!16s%2Fg%2F11fstpy43c!19sChIJuzhvFFubP44RCQwP-qJ77UM?authuser=0&hl=en&rclk=1","automation control Bogotá","Cl. 75 #20B-09, Bogotá, Colombia"
"CONTROL4 BOGOTA","Colombia","+5715336827","5","(4)","http://control4colombia.com/","https://www.google.com/maps/place/CONTROL4+BOGOTA/data=!4m7!3m6!1s0x8e3f9b93c4ae88db:0x7cbb2bd8b74d9b8e!8m2!3d4.6896639!4d-74.0516833!16s%2Fg%2F11gydh0s4g!19sChIJ24iuxJObP44RjptNt9gru3w?authuser=0&hl=en&rclk=1","automation control Bogotá","Ak. 19 ## 103 - 61, Cra 19 #103 - 53, Bogotá, Colombia"
"Multicontrol Ltda - Omron Colombia - Panamá","Colombia","+573153457101","4.8","(8)","http://www.multicontrol.com.co/","https://www.google.com/maps/place/Multicontrol+Ltda+-+Omron+Colombia+-+Panam%C3%A1/data=!4m7!3m6!1s0x8e3f9b29ce8dd309:0xc22fca740fbe13a2!8m2!3d4.6994348!4d-74.0780836!16s%2Fg%2F11b75fwql8!19sChIJCdONzimbP44RohO-D3TKL8I?authuser=0&hl=en&rclk=1","automation control Bogotá","Ac 116 #71-93, Bogotá, Colombia"
"One Automatización - Control4","Colombia","+573123281386","5","(2)","http://www.oneautomatizacion.com/","https://www.google.com/maps/place/One+Automatizaci%C3%B3n+-+Control4/data=!4m7!3m6!1s0x8e3f9ba111159f4d:0xac32e232180c5fca!8m2!3d4.6897763!4d-74.0516696!16s%2Fg%2F11fjy3wm0f!19sChIJTZ8VEaGbP44Ryl8MGDLiMqw?authuser=0&hl=en&rclk=1","automation control Bogotá","Cra 19 #103-61, Bogotá, Colombia"
"Control de Acceso","Colombia","+573152150669","5","(1)","","https://www.google.com/maps/place/Control+de+Acceso/data=!4m7!3m6!1s0x8e3f9f2ede9da7df:0x48a593075ba32f9a!8m2!3d4.5822035!4d-74.1324461!16s%2Fg%2F11tjf73flh!19sChIJ36ed3i6fP44Rmi-jWweTpUg?authuser=0&hl=en&rclk=1","automation control Bogotá","Cl. 48c Sur #27- 61, Bogotá, Colombia"
"Advance Controles Colombia SAS.","Colombia","+576017049900","4","(1)","https://www.grupoadvance.com/","https://www.google.com/maps/place/Advance+Controles+Colombia+SAS./data=!4m7!3m6!1s0x8e3f9ecec684ce73:0x26c17e0f0ca179b3!8m2!3d4.6259062!4d-74.0666649!16s%2Fg%2F11nnv_7wsb!19sChIJc86Exs6eP44Rs3mhDA9-wSY?authuser=0&hl=en&rclk=1","automation control Bogotá","Cl. 38 #8-12, Bogotá, Colombia"
"Abreu Automação de Portões em Belo Horizonte","Brazil","+553130240132","5","(10)","","https://www.google.com/maps/place/Abreu+Automa%C3%A7%C3%A3o+de+Port%C3%B5es+em+Belo+Horizonte/data=!4m7!3m6!1s0xa696de68052ec3:0x5c891850f6d1d598!8m2!3d-19.9136652!4d-43.9855647!16s%2Fg%2F1tr7kmjv!19sChIJwy4FaN6WpgARmNXR9lAYiVw?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","R. Curupaiti, 300 - Padre Eustáquio, Belo Horizonte - MG, 30730-130, Brazil"
"Automation Security And Services","Brazil","+553133149900","5","(12)","http://www.automationsolutions.com.br/","https://www.google.com/maps/place/Automation+Security+And+Services/data=!4m7!3m6!1s0xa697addba7ddc7:0x349734ec6717c751!8m2!3d-19.943717!4d-43.9775318!16s%2Fg%2F11b6hjy8pd!19sChIJx92n262XpgARUccXZ-w0lzQ?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","Estr. do Cercadinho, 1190 - Jardim America, Belo Horizonte - MG, 30421-410, Brazil"
"Tecai","Brazil","+553131411000","4.8","(23)","http://tecai.com.br/","https://www.google.com/maps/place/Tecai/data=!4m7!3m6!1s0xa699c29e75cb69:0x63310c33db5d0149!8m2!3d-19.9292597!4d-43.9434498!16s%2Fg%2F11c0r59lxw!19sChIJact1nsKZpgARSQFd2zMMMWM?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","Av. Álvares Cabral, 975 - Lourdes, Belo Horizonte - MG, 30170-002, Brazil"
"Live Automação","Brazil","+553133355335","4.4","(25)","http://www.liveautomacao.com.br/","https://www.google.com/maps/place/Live+Automa%C3%A7%C3%A3o/data=!4m7!3m6!1s0xa69763b76f12c1:0x164f4e95a684ed19!8m2!3d-19.9374946!4d-43.9317188!16s%2Fg%2F11_r3xv2j!19sChIJwRJvt2OXpgARGe2EppVOTxY?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","R. Tomé de Souza, 552 - Funcionários, Belo Horizonte - MG, 30140-131, Brazil"
"BH Automação Residencial","Brazil","+5531984587764","5","(1)","https://bhautomacao.com.br/","https://www.google.com/maps/place/BH+Automa%C3%A7%C3%A3o+Residencial/data=!4m7!3m6!1s0xa6bd39cbe70f89:0xc2daaec87892ed96!8m2!3d-19.9761031!4d-43.9729145!16s%2Fg%2F11vrdpqzsr!19sChIJiQ_nyzm9pgARlu2SeMiu2sI?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","Av. Professor Mário Werneck, 2900 - Buritis, Belo Horizonte - MG, 30575-180, Brazil"
"Versão Brasileira Vídeo e Multimídia Ltda","Brazil","+553132275090","4.4","(14)","","https://www.google.com/maps/place/Vers%C3%A3o+Brasileira+V%C3%ADdeo+e+Multim%C3%ADdia+Ltda/data=!4m7!3m6!1s0xa69833831f268d:0xca3b53045f74aecc!8m2!3d-19.9374497!4d-43.943381!16s%2Fg%2F1tvgwky5!19sChIJjSYfgzOYpgARzK50XwRTO8o?authuser=0&hl=en&rclk=1","building automation Belo Horizonte","R. Fernandes Tourinho, 1030 - sala 406 - Lourdes, Belo Horizonte - MG, 30112-006, Brazil"
