name,country,domain,source_keyword,official_emails,linkedin_urls,whatsapp_urls,whatsapp_numbers,fit_score,inferred_needs,recommended_products
"Sauter","SWITZERLAND","sauter-controls.com","Building Automation","privacy@sauter.es | info@getech.gr | georgia@aace.gr | li.du@sauter.com.cn | christad@thermal-abyudaya.com | k-terai@orientalgiken.co.jp | arvind.swarnkar@ae.sauter-bc.com | info@ntc-jo.com | salesdirector@patech-eng.com | sales@synertekautomation.com | controls@bascon.ca | projects@microbms.com | info@northstar.co.ke | sales@mansour-energy.com | ms.sbci@de.sauter-bc.com | info@erco.com.mx | info@beez-fm.com | info@sauterme.ae | info@ates-co.com | ramzi.a@naffco.com | climateinnovation@yahoo.com | parts@setpointsystems.com | info@bsubas.com | bsalter@enviseco.com | comair@comair-inc.com | info.ebas@cytanet.com.cy","https://www.linkedin.com/company/sauter | https://www.linkedin.com/company/sauter-controls-belgium | https://www.linkedin.com/company/sauter-middle-east | https://www.linkedin.com/company/sauter/","","","9.9","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Horburger Ag - Niederlassung Erfurt","GERMANY","hoerburger.de","Building Automation","","https://www.linkedin.com/company/hoerburger-gmbh | https://www.linkedin.com/company/hörburger-ag","","","9.9","building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | remote I/O and data acquisition devices"
"Innotech Controls","AUSTRALIA","innotech.com","Building Automation","","https://www.linkedin.com/company/innotech-controls | https://www.linkedin.com/company/innotech-controls-america-inc. | https://www.linkedin.com/company/innotech-systems","","","9.9","building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | ARM edge controllers | remote I/O and data acquisition devices"
"Scada International","UNITED STATES","scada-international.com","SCADA","mywork@company.com | opoura@opoura.com","https://www.linkedin.com/company/opoura | https://www.linkedin.com/company/scada-international","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Mr Control Systems International","CANADA","mrcsi.com","SCADA","sales@mrcsi.com | support@mrcsi.com | training@mrcsi.com | careers@mrcsi.com","https://www.linkedin.com/company/3163563 | https://www.linkedin.com/company/mr-control-systems-international-inc- | https://www.linkedin.com/company/mr-control-systems-international-inc-/","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Fast Engineering Pty Ltd","SWEDEN","fastengineering.com.au","SCADA","wade.harris@fastengineering.com.au","https://www.linkedin.com/company/3090246 | https://www.linkedin.com/company/fast-engineering-pty-ltd | http://www.linkedin.com/company/3090246 | http://platform.linkedin.com/in.js","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Star Controls Inc.","UNITED STATES","star-controls.com","SCADA","info@star-controls.com | sales@star-controls.com | support@star-controls.com","https://www.linkedin.com/company/3119339 | https://www.linkedin.com/company/star-controls-inc-","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Opensoft Systems Limited Oddzial W Polsce","POLAND","opensoftsystems.co.uk","SCADA","contact@opensoftsystems.co.uk | ajax-loader@2x.gif","https://www.linkedin.com/company/opensoft-systems-ltd","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Edge2web, Inc.","UNITED STATES","edge2web.com","IIoT","support@edge2web.com","https://www.linkedin.com/company/edge2web-inc","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Sensorpar Eletro Eletronica E Automacao Ltda","BRAZIL","sensorville.com.br","IIoT","","https://www.linkedin.com/company/sensorville | https://www.linkedin.com/company/sensorville-eletro-eletronica-e-automacao-ltda. | https://www.linkedin.com/company/sensorville/","","","9.9","system integration and industrial device networking | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"sierramonitor","","sierramonitor.com","IIoT","","https://www.linkedin.com/company/msa-the-safety-company | https://www.linkedin.com/company/sierra-monitor-corporation","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Automation Excellence Private Limited","INDIA","automationexcellence.com","IIoT","enquiry@automationexcellence.com | info@automationexcellence.com | leejpryor@automationexcellence.com","https://www.linkedin.com/company/automationexcellence | https://www.linkedin.com/company/automationexcellence-com","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Hms Networks","UNITED KINGDOM","hms-networks.com","IIoT","","https://www.linkedin.com/authwall | https://www.linkedin.com/compan | https://www.linkedin.com/company/287056 | https://www.linkedin.com/company/canada-controls | https://www.linkedin.com/company/hms-networks-real | https://www.linkedin.com/company/hmsnetworks | https://www.linkedin.com/company/red-lion-controls | https://www.linkedin.com/company/hmsnetworks/","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Endian","ITALY","endian.com","IIoT","info@endian.com | sales@endian.com","https://www.linkedin.com/company/endian | https://www.linkedin.com/in/raphaelvallazza | https://www.linkedin.com/company/endian/","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"shm","NORWAY","shm.no","IIoT","post@shmsolutions.no","https://www.linkedin.com/company/shm-solutions-as | https://www.linkedin.com/company/shm-solutions-as/","","","9.9","system integration and industrial device networking | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Monnit Corporation","UNITED STATES","monnit.com","Remote Monitoring","sales@monnit.com | support@monnit.com | admins@monnit.com | info@monnit.com | partner@monnit.com | corporate@monnit.com | korea@monnit.com","https://www.linkedin.com/companies/monnit-corp- | https://www.linkedin.com/company/monnit-corp- | http://www.linkedin.com/companies/monnit-corp-/ | https://www.linkedin.com/companies/monnit-corp-/","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Omniflex - Remote Monitoring Specialists","SOUTH AFRICA","omniflex.com","Remote Monitoring","sales@omniflex.com | techsupport@omniflex.com | sales@omniflex.co.za | uksales@omniflex.com | aussales@omniflex.com","https://www.linkedin.com/company/omniflex","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Abriox Inc","UNITED KINGDOM","abriox.com","Remote Monitoring","","https://www.linkedin.com/company/abriox | https://www.linkedin.com/company/abriox-inc | https://www.linkedin.com/company/abriox-ltd | https://www.linkedin.com/company/mobiltex-data | https://www.linkedin.com/company/mobiltex-data/","","","9.9","system integration and industrial device networking | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Opticom Kenya Limited","KENYA","opticom.co.ke","Remote Monitoring","6dcfdea155fe4083bad80d0648292ecc@sentry.ionos.com","https://www.linkedin.com/company/opticom-kenya","","","9.9","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Tcic, Inc.","UNITED STATES","tcicinc.com","Remote Monitoring","","https://www.linkedin.com/company/tcic-corporation | https://www.linkedin.com/company/tcic-inc","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Elcomplus Llc","RUSSIA","elcomplus.ru","System Integrator","tomsk@elcomplus.ru | marketingdep@elcomplus.ru | moscow@elcomplus.ru | irkutsk@elcomplus.ru","https://www.linkedin.com/company/elcomplus","","","9.9","system integration and industrial device networking | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"C.A.T.A. Informatica","ITALY","cata.it","System Integrator","info@catamacro.com","https://www.linkedin.com/company/c-a-t-a--informatica","","","9.9","system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | remote I/O and data acquisition devices"
"Ais Technologies Group, Radix Regulated Systems, Building 3","CANADA","aistechgroup.com","System Integrator","ais.info@aistechgroup.com | ais.sales@aistechgroup.com","https://www.linkedin.com/company/ais-technologies-inc | https://www.linkedin.com/company/aistechnologiesgroup | https://www.linkedin.com/company/radix-controls | https://www.linkedin.com/company/aistechnologiesgroup/","","","9.9","system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Summit Technology Solutions","EGYPT","summit-mea.com","System Integrator","info@summit-mea.com","https://www.linkedin.com/company/summit-technology-solutions | https://www.linkedin.com/company/summitalgeria | https://www.linkedin.com/company/summit-technology-solutions/posts/?feedView=all\u0026viewAsMember=true\","","","9.9","system integration and industrial device networking","industrial gateways and routers | remote I/O and data acquisition devices"
"East Coast Controls","UNITED KINGDOM","eastcoastcontrols.co.uk","System Integrator","","https://www.linkedin.com/company/east-coast-controls-limited","","","9.9","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Pt Multi Kontrol Nusantara","INDONESIA","mkncorp.com","System Integrator","","https://www.linkedin.com/company/pt-multi-kontrol-nusantara","","","9.9","system integration and industrial device networking","industrial gateways and routers"
"Bab Al Bait Telecommunication Systems Llc","UNITED ARAB EMI","babgroupuae.com","System Integrator","sales@babgroupuae.com | info@babgroupuae.com","https://www.linkedin.com/company/bab-al-bait-electrical-equipment-trading-llc | https://www.linkedin.com/company/bab-al-bait-telecommunication-systems-llc","","","9.9","system integration and industrial device networking | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Iiotnext From Co","INDIA","iiotnext.com","IIoT","iiotnext@consyst.biz","https://www.linkedin.com/company/iiotnext | https://in.linkedin.com/company/iiotnext","","","9.8","PLC/SCADA connectivity and industrial protocol conversion | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Absolute Security Systems Limited","","absolutesecurity.co.uk","Remote Monitoring","","https://www.linkedin.com/company/absolute-security-co | https://www.linkedin.com/company/absolute-security-systems-limited","","","9.8","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Vixtera","UNITED STATES","vixtera.com","IIoT","info@vixtera.com","https://www.linkedin.com/company/vixtera-inc | https://www.linkedin.com/company/vixtera-inc. | https://www.linkedin.com/posts/vixtera-inc_vixtera-us-patent-for-the-fault-detection-activity-6810572191038496768-mgij | https://www.linkedin.com/posts/vixtera-inc_vixtera-us-patent-for-the-fault-detection-activity-6810572191038496768-mgij/ | https://www.linkedin.com/company/vixtera-inc/","","","9.6","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Advance Industrial Wireless Technologies And Solutions","","aiwts.net","IIoT","rosesrosado8@gmail.com | sales@aiwts.net | your.name@business.net","https://www.linkedin.com/company/advance-industrial-wireless-technologies-and-solutions | https://www.linkedin.com/company/advance-industrial-wireless-technologies-and-solutions/about | https://www.linkedin.com/company/aiwts | https://www.linkedin.com/company/advance-industrial-wireless-technologies-and-solutions/","","","9.6","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Collheath It","UNITED KINGDOM","collheathit.co.uk","Remote Monitoring","4b5cdff54f564f008b950466edf9c5ab@collheathit.co.uk","https://www.linkedin.com/company/collheath-computer-services-limited | https://www.linkedin.com/company/collheathit | https://www.linkedin.com/in/chcsltd","","","9.6","energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Arkmen","EGYPT","arkmen.net","System Integrator","info@arkmen.net | sales@arkmen.net","https://www.linkedin.com/company/arkmen","","","9.6","system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | remote I/O and data acquisition devices"
"Data-Command","UNITED STATES","data-command.com","Remote Monitoring","","https://www.linkedin.com/company/data-command","","","9.5","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Bradley Automation Limited","UNITED KINGDOM","bubbleautomation.com","SCADA","","https://www.linkedin.com/company/bubble-automation","","","9.4","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Connexa","AUSTRALIA","connexa.com","IIoT","","https://www.linkedin.com/company/2054467 | https://www.linkedin.com/company/connexausa","","","9.4","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"M2mlogger","INDIA","m2mlogger.com","Remote Monitoring","","https://www.linkedin.com/company/m | https://www.linkedin.com/company/m2mlogger","","","9.4","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Gryne Antwort Ltd","HUNGARY","gruneantwort.com","Building Automation","","https://www.linkedin.com/company/gr%C3%BCne-antwort | https://www.linkedin.com/company/grüne-antwort | https://www.linkedin.com/company/gr%C3%BCne-antwort/","","","9.3","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | remote I/O and data acquisition devices"
"3eworks","MALAYSIA","3-eworks.com","Remote Monitoring","","https://www.linkedin.com/company/3eworks | https://www.linkedin.com/in/kiruban","","","9.1","system integration and industrial device networking | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Entech Services Sdn Bhd","BRUNEI","enctechgroup.com","System Integrator","","https://www.linkedin.com/company/enctechgroup","","","9.1","system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers"
"The Mulkern Company","","themulkerncompany.com","Building Automation","","https://www.linkedin.com/company/the-mulkern-company","","","9","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Sotel Groupe","FRANCE","sotel.fr","Remote Monitoring","","https://www.linkedin.com/company/10393370/admin | https://www.linkedin.com/company/sotel | https://www.linkedin.com/company/sotel/?originalSubdomain=fr","","","8.9","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Equinox Eur Bv","NETHERLANDS","equinoxmhe.com","System Integrator","","https://www.linkedin.com/company/640330 | https://www.linkedin.com/company/equinox-mhe","","","8.8","system integration and industrial device networking","industrial gateways and routers"
"Volsoft Yazilim","TURKEY","volsoft.com.tr","IIoT","","https://www.linkedin.com/company/volsoft | https://www.linkedin.com/company/volsoft/","","","8.5","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Alphateam Solar & Electrical","AUSTRALIA","alphateam.com.au","SCADA","","https://www.linkedin.com/company/alphateam-pty-ltd | https://www.linkedin.com/in/johan-maritz-56a1a411a","","","8.3","PLC/SCADA connectivity and industrial protocol conversion | energy monitoring and utility equipment communication","industrial gateways and routers | remote I/O and data acquisition devices"
"Progressive Control Solutions, Llc","UNITED STATES","pcscontrols.net","System Integrator","","https://www.linkedin.com/company/progressive-control-solutions-llc","","","8.3","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking","industrial gateways and routers | ARM edge controllers"
"Sentient Technologies Corporation","UNITED STATES","sentient.tech","SCADA","","https://www.linkedin.com/company/sentient-technologies-corporation | https://www.linkedin.com/&quot;]}],[0,{&quot;svg&quot;:[0,&quot;&lt;svg","","","8.2","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking","industrial gateways and routers | ARM edge controllers"
"Flo-Corp","UNITED STATES","flo-corp.com","Remote Monitoring","","https://www.linkedin.com/company/flo-corp","","","8.2","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Aero Concepts - Aeroespacial, Industrial E Defesa Ltda.","BRAZIL","aeroconcepts.com.br","Remote Monitoring","","https://www.linkedin.com/company/aero-concepts-aeroespacial-industrial-e-defesa-ltda | https://www.linkedin.com/company/aero-concepts-aeroespacial-industrial-e-defesa-ltda/","","","8.1","energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Openbi, Llc","UNITED STATES","openbi.com","System Integrator","","https://www.linkedin.com/company/openbi-llc","","","8.1","system integration and industrial device networking","industrial gateways and routers"
"Yeltech Ltd","UNITED KINGDOM","yeltech.com","Remote Monitoring","","https://www.linkedin.com/company/yeltech-limited | https://www.linkedin.com/in/yeltech-limited-076bb5131","","","7.5","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Promantis Sa","FRANCE","promantis.fr","Remote Monitoring","","https://www.linkedin.com/company/promantis-sas","","","7.3","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Sensoroutlet.Com","CANADA","sensoroutlet.com","Remote Monitoring","","https://www.linkedin.com/company/sensorutlet","","","6.5","IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
