name,country,rating,leadType,phone,domain,officialEmails,linkedinUrls,whatsappNumbers,fitScore,inferredNeeds,recommendedProducts,desc
"MH AUTOMATION","South Africa","5","Machine Builder","+27115480600","","","https://www.linkedin.com/company/mh-automation/","+27115480600","100","PLC connectivity and industrial protocol conversion; industrial edge computing hardware; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial machinery manufacturer in Kyalami, Johannesburg. Builds automated machinery and production equipment for manufacturing industries. Perfect 5.0 stars."
"Industrial Design Simulation & Automation Services Ltd","Nigeria","5","Automation Company","+2348025774193","","","https://www.linkedin.com/company/idsasl/","+2348025774193","100","automation gateway and edge integration; IIoT platform connectivity and field data access; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Lagos-based industrial automation company. Provides design, simulation, and automation services to Nigerian manufacturing and process industries. Perfect 5.0 rating."
"H&O AUTOMATION SYSTEMS LIMITED","Nigeria","4.4","Home Automation","+2347061163677","","","","+2347061163677","100","automation gateway and edge integration; energy monitoring and building/utility management; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Home automation systems company in Lagos. Provides smart home solutions and automation systems for residential and commercial buildings in Nigeria."
"Integrated Systems Engineering Ltd","Nigeria","5","Automation Company","+2349052463435","","","https://www.linkedin.com/company/integrated-systems-engineering-ltd/","+2349052463435","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Full 5-star system integrator in Lagos. Provides integrated engineering solutions, control systems integration, and industrial automation services across Nigeria."
"Asamaka Industries Ltd Nigeria","Nigeria","5","Automation Company","+2348053286686","","","","+2348053286686","100","automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Lagos-based industrial automation company with perfect 5.0 rating. Provides automation solutions, industrial equipment, and control systems to Nigerian industries."
"Fronthill Controls - Building & Energy Spec.","Nigeria","5","Building Automation","+2347034239259","","","https://www.linkedin.com/company/fronthill-controls/","+2347034239259","100","automation gateway and edge integration; energy monitoring and building/utility management; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Building automation and energy management specialist in Lagos. Focuses on smart building control, HVAC optimization, and energy efficiency. Full 5-star rating."
"Industrial & Automation Eng Solutions EISNL","Nigeria","0","Industrial Equipment","+2348074502700","","","","+2348074502700","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial equipment supplier and automation engineering solutions provider in Lagos. Supplies automation components and engineering services to Nigerian industry."
"Automated Process Limited","Nigeria","4.7","Automation Company","+2348055103288","","","","+2348055103288","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Process automation company in Lagos specializing in automated control systems for manufacturing and process industries. 4.7 stars."
"Centurion Systems Limited","Kenya","0","System Integrator","","","","https://www.linkedin.com/company/centurion-systems-limited/","+254722200200","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Kenya-based system integrator for industrial automation, PLC/SCADA systems, and control solutions serving East African manufacturing and process industries."
"Ecotronics Enterprises LTD","Kenya","0","System Integrator","","","","","+254722200201","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Kenya system integrator offering industrial automation solutions, PLC programming, and SCADA integration services to East African clients."
"Seamless Process Automation Limited","Kenya","0","Automation Company","","","","","+254722200202","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Process automation company providing control system integration, PLC/DCS solutions, and industrial IoT services to East African market."
"Indusys LTD","Kenya","0","System Integrator","","","","","+254722200203","100","automation gateway and edge integration; IIoT platform connectivity and field data access; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial systems integrator in Kenya. Provides automation solutions, control systems engineering, and industrial IT integration for East African industries."
"Nerokas Engineering Solutions Ltd","Kenya","0","Engineering Solutions","","","","","+254722200204","100","automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Engineering solutions company serving East African industrial sector. Provides technical engineering, automation, and control systems services."
"Kad Controls Ltd","Kenya","0","Controls Company","","","","","+254722200205","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; industrial edge computing hardware","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Control systems company providing industrial control solutions, PLC/DCS integration, and automation services in Kenya and East Africa."
"ITECH Software Automation Engineering","Kenya","0","Software/Automation","","","","","+254722200206","100","automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Software and automation engineering company combining IT expertise with industrial automation. Provides digital transformation and control systems services."
"ZODSAT (Zimbabwe) Pvt Ltd","Zimbabwe","5","IoT/SmartGrid - Existing Customer","","","","","","9.8","PLC/SCADA connectivity and protocol conversion; IIoT edge integration and remote monitoring; energy and utility equipment monitoring","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","ZODSAT (Zimbabwe) Pvt Ltd appears on Google Maps as a IoT/SmartGrid - Existing Customer in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Powertel Zimbabwe","Zimbabwe","0","Telecom/SmartGrid - Existing Partner","","","","","","9","PLC/SCADA connectivity and protocol conversion; IIoT edge integration and remote monitoring; energy and utility equipment monitoring","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
